account_id,fraud_probability,anomaly_score,declared_income_annual,total_deposits_90d,total_withdrawals_90d,num_deposits_90d,num_withdrawals_90d,deposit_withdraw_cycle_days_avg,vpn_usage_pct,countries_accessed_count,device_shared_count,ip_shared_count,account_age_days,kyc_face_match_score,deposits_vs_income_ratio
ACC-000000,0.1251609965520298,0.9237347362880547,28902.266862347118,12142.8,10794.78,45,45,1.2916666666666667,70.1,5,49,49,631,0.531,1.680531622578431
ACC-000001,0.04755839110763266,0.46830619835753173,52515.57784443199,10377.27,4872.18,27,12,1.6958333333333335,9.0,3,1,1,2500,0.91,0.7904151587962952
ACC-000002,0.04755839110763266,0.6417175970779033,28646.811088869545,17883.12,7647.39,12,18,5.008333333333334,11.0,1,0,0,707,0.701,2.4970470464607875
ACC-000003,0.1251609965520298,1.0,15574.981531383095,5465.97,4826.88,57,54,1.2208333333333334,73.2,7,49,49,1259,0.48,1.4037834107016678
ACC-000004,0.04755839110763266,1.0,116925.91518906188,42413.28,33781.17,18,12,1.0,24.7,3,1,1,1869,0.692,1.4509450451608183
ACC-000005,0.04755839110763266,0.5938555360439407,56770.82249672078,9649.11,5668.89,24,12,1.9958333333333333,22.5,4,1,3,116,0.572,0.679863670760509
ACC-000006,0.04755839110763266,0.8067181675447107,49382.62637549469,16498.260000000002,10397.52,9,9,1.0,26.700000000000003,3,3,2,1178,0.768,1.336360946413846
ACC-000007,0.1251609965520298,0.5343586675725568,69418.73391740289,11246.67,5793.4800000000005,21,9,1.0,42.1,1,1,0,149,0.876,0.6480487822632838
ACC-000008,0.04755839110763266,0.4391306089474054,68868.80148323058,16131.39,10573.05,15,21,2.5749999999999997,22.2,4,1,3,244,0.911,0.9369350328881064
ACC-000009,0.04755839110763266,0.5731369158839786,40001.500213154104,6947.01,4191.6,15,12,3.341666666666667,6.7,6,1,1,2500,0.803,0.6946762563632477
ACC-000010,0.04755839110763266,0.5100379761087475,86787.41824311903,11248.289999999999,6495.75,15,24,1.5333333333333332,14.6,3,0,2,515,0.675,0.5184294116439494
ACC-000011,0.04755839110763266,0.8045184074082046,39627.678329130635,11461.83,7212.75,15,18,1.9208333333333334,15.5,3,5,1,184,0.767,1.1569524042984265
ACC-000012,0.04755839110763266,0.4075611241947298,29301.87153735349,7151.43,3942.33,12,9,1.5,9.6,2,1,0,324,0.841,0.976242772167844
ACC-000013,0.04755839110763266,0.44380101736378735,51650.98467828485,14685.84,11344.23,18,9,1.0,29.099999999999998,3,0,0,512,0.61,1.1373129090001344
ACC-000014,0.1251609965520298,1.0,54497.63501383193,36190.86,31854.120000000003,39,45,0.16666666666666666,38.9,8,49,51,1262,0.562,2.656326196616674
ACC-000015,0.04755839110763266,0.6363805732560789,51194.78137635293,7261.32,3721.3500000000004,21,18,3.8874999999999997,16.3,4,0,2,774,0.745,0.5673478694496138
ACC-000016,0.04755839110763266,0.9184011872093579,90146.63745848296,58852.41,44252.729999999996,9,15,3.341666666666667,19.3,3,1,0,178,0.661,2.61140805575752
