account_id,declared_income_annual,total_deposits_90d,total_withdrawals_90d,num_deposits_90d,num_withdrawals_90d,deposit_withdraw_cycle_days_avg,vpn_usage_pct,countries_accessed_count,device_id,ip_hash,account_age_days,kyc_face_match_score,is_fraud
ACC-L-01251,90415.4,28974.84,14928.4,2,6,14.17,7.93,3,DEV-L-01251,IP-L-01251,204,0.9575,False
ACC-L-02336,34487.4,5251.22,3002.96,5,6,27.71,12.49,2,DEV-L-02336,IP-L-02336,41,0.985,False
ACC-L-02403,36244.89,7171.35,4411.24,10,6,24.53,10.85,1,DEV-L-02403,IP-L-02403,414,0.9397,False
ACC-L-00805,42700.09,6103.42,4049.59,5,8,28.34,4.71,3,DEV-L-00805,IP-L-00805,470,0.9489,False
ACC-L-00455,107479.29,23134.94,18832.74,11,11,16.03,2.16,3,DEV-L-00455,IP-L-00455,468,0.9887,False
ACC-F-00106,51135.06,35261.62,26324.89,15,4,1.6,79.13,7,DEV-F-0000,IP-F-0009,152,0.6661,True
ACC-L-00339,109863.93,24120.98,17873.5,11,10,23.72,16.54,3,DEV-L-00339,IP-L-00339,288,0.9526,False
ACC-L-02218,77598.94,15304.59,13924.44,14,4,23.13,12.2,1,DEV-L-02218,IP-L-02218,52,0.9908,False
ACC-L-02163,34811.24,6264.08,3268.28,7,9,29.27,5.13,2,DEV-L-02163,IP-L-02163,168,0.9035,False
ACC-L-01350,81703.53,27184.45,24851.19,10,3,18.99,2.14,3,DEV-L-01350,IP-L-01350,38,0.9699,False
ACC-L-02214,62151.54,11440.52,8696.15,6,4,29.92,7.16,3,DEV-L-02214,IP-L-02214,707,0.9914,False
ACC-F-00228,60141.34,75817.56,61813.63,33,10,3.82,57.49,10,DEV-F-0017,IP-F-0044,32,0.6353,True
ACC-L-00665,55803.83,8121.58,5678.97,6,11,32.91,3.63,2,DEV-L-00665,IP-L-00665,147,0.9638,False
ACC-L-00544,29408.27,7749.39,6058.04,7,5,26.21,14.32,1,DEV-L-00544,IP-L-00544,214,0.9131,False
ACC-L-02771,56556.46,13496.63,12612.72,11,10,15.24,13.64,2,DEV-L-02771,IP-L-02771,63,0.8816,False
ACC-L-03293,44995.97,6185.64,4772.9,8,1,34.02,2.76,1,DEV-L-03293,IP-L-03293,397,0.8807,False
ACC-L-00823,52296.38,8222.87,5033.9,11,5,33.2,7.97,1,DEV-L-00823,IP-L-00823,180,0.9557,False
ACC-L-03101,86395.91,26520.77,19484.48,14,11,20.03,14.79,2,DEV-L-03101,IP-L-03101,361,0.9867,False
ACC-L-01494,86823.47,20942.41,14000.05,8,11,18.95,6.44,2,DEV-L-01494,IP-L-01494,276,0.9768,False
ACC-L-00834,113446.83,35568.51,28147.18,3,3,29.93,11.2,2,DEV-L-00834,IP-L-00834,237,0.9086,False
ACC-L-00676,65723.16,9802.21,7399.03,14,4,33.64,9.78,2,DEV-L-00676,IP-L-00676,498,0.9479,False
ACC-L-02799,105990.32,36409.2,29107.1,9,8,15.04,17.6,2,DEV-L-02799,IP-L-02799,178,0.9688,False
ACC-L-00867,97588.84,25612.27,15481.6,4,7,29.41,17.76,1,DEV-L-00867,IP-L-00867,384,0.9866,False
ACC-L-00392,63493.73,16323.6,8951.09,14,10,32.92,6.31,2,DEV-L-00392,IP-L-00392,35,0.975,False
ACC-L-04517,84869.82,14069.71,7225.37,13,8,30.99,8.39,1,DEV-L-00017,IP-L-04517,564,0.9808,False
ACC-L-00251,63699.72,15282.63,13807.22,5,9,12.52,15.79,3,DEV-L-00251,IP-L-00251,482,0.9173,False
ACC-L-03816,78322.5,22484.46,14241.94,5,6,21.99,13.41,2,DEV-L-03816,IP-L-03816,423,0.9168,False
ACC-L-00083,84377.77,16268.58,14111.12,10,5,13.63,7.01,3,DEV-L-00083,IP-L-00083,470,0.9783,False
ACC-L-04434,78192.21,14652.37,11856.0,2,2,26.12,5.24,2,DEV-L-04434,IP-L-04434,166,0.956,False
ACC-L-00236,78771.75,25360.38,19046.74,14,5,13.12,3.57,2,DEV-L-00236,IP-L-00236,663,0.9865,False
ACC-L-01712,67568.66,23234.2,21971.95,10,5,23.64,10.47,1,DEV-L-01712,IP-L-01712,616,0.9603,False
ACC-L-00143,117660.46,18722.9,16929.38,3,6,31.89,4.48,3,DEV-L-00143,IP-L-00143,105,0.9779,False
ACC-L-04592,109625.89,23342.45,12012.92,12,4,16.78,5.76,3,DEV-L-00092,IP-L-04592,205,0.9237,False
ACC-L-04616,77789.86,16117.25,12017.62,2,10,30.03,17.76,2,DEV-L-00116,IP-L-04616,378,0.9543,False
ACC-L-01505,118070.72,31756.5,28980.04,8,6,33.68,10.2,2,DEV-L-01505,IP-L-01505,224,0.9263,False
ACC-L-02265,79390.34,24486.83,20689.8,3,8,33.04,14.32,3,DEV-L-02265,IP-L-02265,776,0.9721,False
ACC-L-03335,46220.06,8534.11,4306.44,12,1,27.78,13.03,3,DEV-L-03335,IP-L-03335,530,0.9458,False
ACC-L-04065,35894.75,12027.5,10637.31,7,1,23.31,2.99,3,DEV-L-04065,IP-L-04065,724,0.9423,False
ACC-L-04716,88481.0,26742.54,22330.46,3,2,18.58,11.61,3,DEV-L-00216,IP-L-04716,266,0.9095,False
