account_id,declared_monthly_income,account_age_days,country_of_registration,avg_monthly_deposit,avg_monthly_withdrawal,deposit_income_ratio,num_deposits_30d,num_withdrawals_30d,deposit_withdraw_time_hours,net_flow_ratio,num_logins_30d,vpn_login_ratio,countries_accessed,high_risk_country_access,device_id,ip_address,kyc_doc_score,face_match_score,selfie_liveness_pass,shared_device_count,shared_ip_count,linked_account_count
ACC-000000,2408.5222385289267,631,US,4047.6,3598.26,1.680531622578431,15,15,31.0,0.111,40,0.701,"[""MX"", ""US"", ""YY"", ""BR"", ""XX""]",True,DEV-C09,IP-C09,0.545,0.531,True,49,49,98
ACC-000001,4376.298153702665,2500,BR,3459.09,1624.06,0.7904151587962952,9,4,40.7,0.53,43,0.09,"[""XX"", ""DE"", ""MX""]",True,DEV-L02274,IP-L02470,0.939,0.91,True,1,1,2
ACC-000002,2387.2342574057952,707,IN,5961.04,2549.13,2.4970470464607875,4,6,120.2,0.572,21,0.11,"[""NL""]",False,DEV-L02577,IP-L03660,0.767,0.701,True,0,0,0
ACC-000003,1297.915127615258,1259,CA,1821.99,1608.96,1.4037834107016678,19,18,29.3,0.117,33,0.732,"[""FR"", ""AU"", ""XX"", ""GB"", ""SG"", ""MX"", ""ZZ""]",True,DEV-C09,IP-C09,0.754,0.48,True,49,49,98
ACC-000004,9743.826265755157,1869,BR,14137.76,11260.39,1.4509450451608183,6,4,24.0,0.204,30,0.247,"[""ES"", ""SG"", ""YY""]",True,DEV-L05974,IP-L04829,0.651,0.692,True,1,1,2
ACC-000005,4730.901874726732,116,CA,3216.37,1889.63,0.679863670760509,8,4,47.9,0.412,32,0.225,"[""MX"", ""FR"", ""US"", ""XX""]",True,DEV-L03093,IP-L05311,0.774,0.572,True,1,3,4
ACC-000006,4115.218864624558,1178,XX,5499.42,3465.84,1.336360946413846,3,3,24.0,0.37,49,0.267,"[""US"", ""MX"", ""AU""]",False,DEV-L01387,IP-L04274,0.762,0.768,True,3,2,5
ACC-000007,5784.894493116907,149,YY,3748.89,1931.16,0.6480487822632838,7,3,24.0,0.485,18,0.421,"[""NL""]",False,DEV-L02924,IP-L07045,0.949,0.876,True,1,0,1
ACC-000008,5739.066790269215,244,IT,5377.13,3524.35,0.9369350328881063,5,7,61.8,0.345,26,0.222,"[""FR"", ""IT"", ""ZZ"", ""XX""]",True,DEV-L01618,IP-L08562,0.908,0.911,True,1,3,4
ACC-000009,3333.458351096175,2500,MX,2315.67,1397.2,0.6946762563632477,5,4,80.2,0.397,27,0.067,"[""ES"", ""AU"", ""IN"", ""ZZ"", ""FR"", ""NL""]",True,DEV-L07843,IP-L07063,0.986,0.803,True,1,1,2
ACC-000010,7232.284853593253,515,CA,3749.43,2165.25,0.5184294116439494,5,8,36.8,0.423,47,0.146,"[""FR"", ""DE"", ""ES""]",False,DEV-L01348,IP-L05556,0.811,0.675,True,0,2,2
ACC-000011,3302.3065274275527,184,ZZ,3820.61,2404.25,1.1569524042984263,5,6,46.1,0.371,20,0.155,"[""SG"", ""IN"", ""AU""]",False,DEV-L02422,IP-L03628,0.927,0.767,True,5,1,6
ACC-000012,2441.822628112791,324,DE,2383.81,1314.11,0.976242772167844,4,3,36.0,0.449,43,0.096,"[""BR"", ""GB""]",False,DEV-L06157,IP-L08860,0.647,0.841,True,1,0,1
ACC-000013,4304.248723190404,512,DE,4895.28,3781.41,1.1373129090001344,6,3,24.0,0.228,42,0.291,"[""FR"", ""BR"", ""SG""]",False,DEV-L01414,IP-L06708,0.538,0.61,True,0,0,0
ACC-000014,4541.469584485994,1262,ES,12063.62,10618.04,2.656326196616674,13,15,4.0,0.12,42,0.389,"[""US"", ""AU"", ""GB"", ""IN"", ""SG"", ""CA"", ""NL"", ""YY""]",True,DEV-C03,IP-C03,0.356,0.562,True,49,51,100
ACC-000015,4266.231781362744,774,DE,2420.44,1240.45,0.5673478694496138,7,6,93.3,0.488,41,0.163,"[""BR"", ""ES"", ""AU"", ""CA""]",False,DEV-L06635,IP-L03621,0.762,0.745,True,0,2,2
ACC-000016,7512.219788206914,178,NL,19617.47,14750.91,2.61140805575752,3,5,80.2,0.248,28,0.193,"[""AU"", ""XX"", ""NL""]",True,DEV-L05315,IP-L00754,0.624,0.661,True,1,0,1
ACC-000017,4694.6181679241145,47,NL,4094.29,2126.47,0.8721232151134809,6,5,180.6,0.481,17,0.192,"[""GB"", ""AU""]",False,DEV-L00726,IP-L04923,0.682,0.892,True,0,3,3
ACC-000018,10539.814208716534,324,MX,21956.96,12773.05,2.083239923808719,11,4,24.0,0.418,50,0.121,"[""CA""]",False,DEV-L02815,IP-L03279,0.808,0.97,True,3,0,3
